Count/ISBN	Category/PRIMARY AUTHOR			TITLE
978-1594488856	The RZA					The Tao of Wu
978-1787753433	Theo Lorenz				The Trans Self-Care Workbook
978-9004356238	Nawal Nasrallah				Treasure Trove of Benefits and Variety at the Table: A Fourteenth-Century Egyptian Cookbook
978-3495486566	Stefano Micali				Wolfgang Blankenburg - Psychiatrie und Phänomenologie

30		Novels, short stories
978-1853262715	Leo Tolstoy				Anna Karenina
978-3957512611	Michael Ende				Das Gefängnis der Freiheit: Geschichten von Wundern und Zeichen
978-1539975687	Wilhelm Hauff				Das kalte Herz: Ein Märchen
978-3596181162	Franz Kafka				Das Schloß: Roman
978-0679776444	Nikolai Gogol				Dead Souls
978-3492257176	Michael Ende				Der Niemandsgarten
978-1561310326	Ismail Kadare				Doruntine
978-0140435313	Edwin Abbott				Flatland: A Romance of Many Dimensions by A. Square
978-0140445503	Francois Rabelais			Gargantua and Pantagruel
978-0815607656	Radwa Ashour et al			Granada: A Novel (Middle East Literature in Translation)
978-0743477123	William Shakespeare			Hamlet (Folger Library Shakespeare)
978-0810117310	Stanislaw Lem				His Master's Voice
978-0812969641	Marcel Proust				In Search of Lost Time
978-9681604042	Jorge Luis Borges			Manual de zoología fantástica
978-9774164835	Naguib Mahfouz				Midaq Alley
978-3522119405	Michael Ende				Momo
978-3518367742	Hermann Hesse				Narziß und Goldmund
978-1503055582	Fyodor Dostoevsky			Notes from the Underground
978-0679730675	Edward W. Said				Out of Place: A Memoir
978-0141185262	Vladimir Nabokov			Pale Fire
2-7242-4133-9	Amin Maalouf et al			Samarkand
978-0811220361	Sonallah Ibrahim et al			That Smell and Notes from Prison
978-1612190877	Ameen Rihani				The Book of Khalid
978-0141028590	Sathnam Sanghera			The Boy with the Topknot: A Memoir of Love, Secrets and Lies in Wolverhampton
978-0199535620	Geoffrey Chaucer et al			The Canterbury Tales
978-0553380644	Tom Wolfe				The Electric Kool-Aid Acid Test
978-9931325567	Kamel Daoud				The Meursault Investigation
978-1583228715	Seba Al-Herz				The Others
		Muhammad Asad				Unromantisches Morgenland Aus d. Tagebuch e. Reise
978-0719556227	Tim MacKintosh-Smith			Yemen: Travels in Dictionary Land

vim:fenc=utf-8 ff=dos noexpandtab nowrap sw=8 ts=8 tw=0
